File_name,Error_ID,Status,Remarks
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11467,Failed,Manual check required
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11468,FAILED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11300,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11301,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11302,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11303,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11304,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11305,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11306,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11307,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11308,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11309,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11310,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11311,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11312,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11313,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11314,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11315,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11316,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11317,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11588,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11319,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11320,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11321,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11322,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11323,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11324,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11325,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11326,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11327,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11328,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11329,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11330,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11331,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11332,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11334,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11335,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11336,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11337,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11338,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11339,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11340,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11341,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11342,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11343,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11344,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11345,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11346,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11347,PASSED,
test-Output_preparation.atr,TestCaseLCR-110_SW_LLR_TC_11348,PASSED,
